trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.2, 'e': 0.26499999999999935}",30,2,-28.837897379958964,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
148,False,"{'a': 0.2, 'e': 0.25999999999999934}",25,0,20.578077523619818,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.2, 'e': 0.25499999999999934}",30,11,35.47368325969475,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.24999999999999933}",25,11,22.362974028049546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.24499999999999933}",25,9,-24.718405527972475,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.23999999999999932}",20,9,3.128800419664759,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.23499999999999932}",20,0,12.19249837819047,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.22999999999999932}",25,3,14.387058287752419,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.2249999999999993}",20,11,15.878038709944908,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.2199999999999993}",20,10,-4.00085613154245,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.2149999999999993}",30,13,4.640160168593748,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.2099999999999993}",25,0,-2.4822090291826084,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.2, 'e': 0.2049999999999993}",20,5,-12.470191748894338,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.2, 'e': 0.1999999999999993}",20,9,-86.8470394674994,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
161,False,"{'a': 0.2, 'e': 0.19499999999999929}",25,20,9.856059471447985,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.18999999999999928}",25,11,-17.18376892027695,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.2, 'e': 0.18499999999999928}",20,16,7.210379107983574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.17999999999999927}",25,4,10.012444691300468,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.17499999999999927}",20,6,11.95300645885129,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.16999999999999926}",25,16,15.16018030209835,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.16499999999999926}",25,9,22.801458726463643,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.15999999999999925}",25,17,-27.376515467129455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.2, 'e': 0.15499999999999925}",20,10,18.685304360529855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.14999999999999925}",25,13,21.867894674037696,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.14499999999999924}",25,14,8.551403548533859,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.13999999999999924}",20,7,5.187828427163598,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.13499999999999923}",20,14,2.9002962412543356,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.12999999999999923}",20,6,-58.82151738082193,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
175,False,"{'a': 0.2, 'e': 0.12499999999999922}",20,6,12.814756383289819,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.11999999999999922}",20,11,18.496644435642796,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.11499999999999921}",30,12,7.021122568638111,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.10999999999999921}",25,17,0.4426950929159199,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.1049999999999992}",20,9,21.101448133207473,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.0999999999999992}",20,0,29.222458885068352,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.2, 'e': 0.0949999999999992}",20,0,12.991616048856692,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.2, 'e': 0.08999999999999919}",20,12,12.511134110619173,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.08499999999999919}",20,12,15.160693908388582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
